GEOID,Borough,NTA,p_college_pop_2000
36047010600,Brooklyn,Sunset Park East,0.06937837680122472
36047010800,Brooklyn,Sunset Park East,0.08609028468333865
36047011000,Brooklyn,Sunset Park East,0.08518909316151836
36047011200,Brooklyn,Sunset Park East,0.06377811031462813
36047011400,Brooklyn,Borough Park,0.16094904037067861
36047011600,Brooklyn,Borough Park,0.06151396154841538
36047011700,Brooklyn,Park Slope-Gowanus,0.11527604772776243
36047011800,Brooklyn,Sunset Park East,0.06875625695965286
36047011900,Brooklyn,Park Slope-Gowanus,0.1656197229791634
36047012000,Brooklyn,Sunset Park East,0.06469851924176064
36047012100,Brooklyn,Park Slope-Gowanus,0.12229092339082602
36047012200,Brooklyn,Sunset Park West,0.061958195373862206
36047012600,Brooklyn,Bay Ridge,0.12261495297399455
36047012700,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.10049773141081166
36047012801,Brooklyn,Dyker Heights,0.10464711767619521
36047012901,Brooklyn,Park Slope-Gowanus,0.3452310598598615
36047012902,Brooklyn,Park Slope-Gowanus,0.4496193183250608
36047013000,Brooklyn,Bay Ridge,0.16177006083281947
36047013100,Brooklyn,Park Slope-Gowanus,0.32573259256291787
36047013200,Brooklyn,Dyker Heights,0.13901433898371474
36047013300,Brooklyn,Park Slope-Gowanus,0.43271577590687565
36047013400,Brooklyn,Bay Ridge,0.23247890200891336
36047013500,Brooklyn,Park Slope-Gowanus,0.37763385967574675
36047013600,Brooklyn,Bay Ridge,0.21232937691359902
36047013700,Brooklyn,Park Slope-Gowanus,0.3253122140046901
36047013800,Brooklyn,Bay Ridge,0.24516770040244107
36047013900,Brooklyn,Park Slope-Gowanus,0.3193331191481311
36047014000,Brooklyn,Dyker Heights,0.26495202538366946
